variable,type,from_table,level,definition
n_acc_alim1,categorical,ALIM,,Concerned about food availability in the past three months
n_acc_alim1,categorical,ALIM,1,yes
n_acc_alim1,categorical,ALIM,2,no
n_etnia,categorical,ETNIA,,Ethnic self-description of the household head
n_etnia,categorical,ETNIA,1,indigenous
n_etnia,categorical,ETNIA,2,non indigenous
n_hogar,categorical,,,household unique ID
n_size_class_agro,categorical,AGRO,,Farm's class based on n_size_val1
n_size_class_agro,categorical,AGRO,1,0 - 250 000
n_size_class_agro,categorical,AGRO,2,250 001 - 500 000
n_size_class_agro,categorical,AGRO,3,500 001 - 1 000 000
n_size_class_agro,categorical,AGRO,4,1 000 001 - 2 000 000
n_size_class_agro,categorical,AGRO,5,2 000 001 - 5 000 000
n_size_class_agro,categorical,AGRO,6,5 000 001 - 10 000 000
n_size_class_agro,categorical,AGRO,7,> 10 000 000
n_tipo_act_agro,categorical,AGROPRODUCTO,,Household has agricultural activities (from 0 to 4 in n_tipo_prod_agro)
n_tipo_act_agro,categorical,AGROPRODUCTO,0,no harvest yet
n_tipo_act_agro,categorical,AGROPRODUCTO,1,yes
n_tipo_act_agro,categorical,AGROPRODUCTO,2,no
n_tipo_prod_agro,categorical,AGROPRODUCTO,,type of agricultural activities
n_tipo_prod_agro,categorical,AGROPRODUCTO,0,no harvest yet (declared products but no harvest yet)
n_tipo_prod_agro,categorical,AGROPRODUCTO,1,crop farms
n_tipo_prod_agro,categorical,AGROPRODUCTO,2,livestock farms
n_tipo_prod_agro,categorical,AGROPRODUCTO,3,mixed crops-livestock farms
n_tipo_prod_agro,categorical,AGROPRODUCTO,4,mixed farm-primary
n_tipo_prod_agro,categorical,AGROPRODUCTO,5,primary non-farm
n_act_agro,numeric,AGRO,,number of agricultural activities in the household as self-employed (sum across all members)
n_act_noagro,numeric,NOAGRO,,number of non agricultural activities in the household as self-employed (sum across all members)
n_agromercados,numeric,AGRO;NOAGRO,,Agromercados Sociales y Sustentables (TOTAL = _agro + _noagro)
n_agromercados_agro,numeric,AGRO,,Agromercados Sociales y Sustentables received for agricultural activities
n_agromercados_noagro,numeric,NOAGRO,,Agromercados Sociales y Sustentables received for non-agricultural activities
n_apoyo_npago_agro,numeric,AGRO,,OTHERS policies - non-repayable support policies from federal state and municipal governements
n_autoconsumo1,numeric,AGRO;NOAGRO,,value of self-consumption (based on auto_tri) from total activities
n_autoconsumo1_agro,numeric,AGRO,,value of self-consumption (based on auto_tri) from agricultural activities
n_autoconsumo1_noagro,numeric,NOAGRO,,value of self-consumption (based on auto_tri) from non-agricultural activities
n_autoconsumo2_agro,numeric,AGROCONSUMO,,value of self-consumption (based on valestim) from agricultural activities
n_credito_gan,numeric,AGRO;NOAGRO,,Crédito Ganadero a la Palabra (TOTAL = _agro + _noagro)
n_credito_gan_agro,numeric,AGRO,,received for agricultural activities
n_credito_gan_noagro,numeric,NOAGRO,,received for non-agricultural activities
n_desarollo_rur,numeric,AGRO;NOAGRO,,Desarrollo Rural (TOTAL = _agro + _noagro)
n_desarollo_rur_agro,numeric,AGRO,,received for agricultural activities
n_desarollo_rur_noagro,numeric,NOAGRO,,received for non-agricultural activities
n_estim_alqu,numeric,CONCENTRADOHOGAR,,imputed rent from owner-occupied housing
n_fni_agro,numeric,AGRO,,"household's farm net income (from ing_tri, ero_tri, support, that is with all non-repayable support policies)"
