folioviv,foliohog,numren,id_trabajo,tipoact,numprod,codigo,cosecha,aparce,nocos,vendio,uso_hog,uso_prod,deu_hog,deu_neg,pag_trab,uso_reg,uso_int,cicloagr,cantidad,cant_venta,vtapie,valor,preciokg,val_venta
0100455002,1,01,2,5,01,240,0,2, ,2,2,2,2,2,2,2,2, ,17, , ,119000,7000, 
0101216004,1,01,2,5,01,250,0,2, ,2,2,2,2,2,2,1,2, ,12, , ,2400,200, 
0101216004,1,01,2,5,02,251,0,2, ,2,2,2,2,2,2,2,2, ,3, , ,1500,500, 
0101216004,1,01,2,5,03,263,0,2, ,2,2,2,2,2,2,2,2, ,12, , ,600,300, 
0101216004,1,01,2,5,04,279,0,2, ,2,1,2,2,2,2,1,2, ,24, , ,1680,70, 
0102005503,1,01,1,4,01,161,1,2, ,1,2,2,2,2,2,2,2,3,192000,192000, ,288000,1.5,288000
0102005503,1,01,1,4,02,039,1,2, ,1,1,2,2,2,2,2,2,1,34000,33990, ,238000,7,237930
0102005503,1,01,1,4,03,112,1,2, ,1,1,2,2,2,2,2,2,2,40000,39980, ,360000,9,359820
0102005918,1,01,1,4,01,112,1,2, ,1,1,2,2,2,2,1,2,1,8000,7940, ,75000,9,72000
0102005918,1,01,1,4,02,133,1,2, ,1,1,2,2,2,2,1,2,3,3600,3240, ,25000,7,25000
0102027703,1,01,2,5,01,246,0,2, ,1,2,2,2,2,2,2,2, ,8,1, ,63600,7950,5900
0102027703,1,01,2,5,02,275,0,2, ,1,2,2,2,2,2,2,2, ,6,1, ,5400,900,3600
0102083403,1,01,2,5,01,246,0,2, ,1,2,2,2,2,2,1,2, ,41,30, ,143500,3500,105000
0102108301,1,03,1,4,01,010,1,2, ,2,2,1,2,2,2,2,2,3,156000, , ,324000,2, 
0102108301,1,03,1,4,02,026,1,2, ,2,2,1,2,2,2,2,2,1,23000, , ,67000,3, 
0102108301,1,03,1,4,03,173,1,2, ,2,2,1,2,2,2,2,2,1,180000, , ,240000,1.5, 
0102108301,1,03,1,4,04,194,1,2, ,2,2,1,2,2,2,2,2,2,300000, , ,270000,.9, 
0102108301,1,03,1,4,05,140,2,2,6, , , , , , , , , , , , , , , 
0102108301,1,03,1,5,01,268,0,2, ,1,2,2,2,1,2,2,2, ,50,5, ,900000,18000,90000
0102108301,1,03,1,5,02,240,0,2, ,2,2,2,2,2,2,2,2, ,20, , ,200000,10000, 
0102108301,1,03,1,5,03,269,0,2, ,2,2,2,2,2,2,2,2, ,13, , ,234000,10000, 
0102108301,1,03,1,5,04,284,0,2, ,1,1,2,2,2,2,1,2, ,298625,292000, ,2389000,8,2336000
0102108301,1,04,2,5,01,246,0,2, ,1,2,2,2,2,2,2,2, ,25,20, ,87500,3500,70000
0102108301,1,04,2,5,02,275,0,2, ,2,2,2,2,2,2,2,2, ,10, , ,9000,900, 
0102140021,1,01,1,4,01,141,1,2, ,1,2,2,2,2,2,2,2,1,47000,47000, ,47000,1,47000
0102155924,1,01,1,4,01,140,2,2,7, , , , , , , , , , , ,6300, , , 
0102155924,1,01,1,4,02,194,1,2, ,1,2,2,2,2,2,2,2,2,14000,14000, ,6300,.45,6300
0102162205,1,01,1,4,01,141,1,2, ,1,2,2,2,2,2,2,2,1,170000,170000, ,127500,.75,127500
0102162408,1,01,1,5,01,246,0,2, ,1,2,2,2,2,2,1,2, ,25,23, ,82500,3300,75900
0102162409,1,01,1,4,01,140,1,2, ,1,2,2,2,2,2,2,2,2,30000,300000, ,150000,5,150000
0102187424,1,01,1,4,01,140,1,2, ,1,1,2,2,2,2,2,2,2,20000,19000, ,120000,6,114000
0102187424,1,01,1,4,02,194,1,2, ,1,2,2,2,2,2,2,2,2,10000,10000, ,25000,2.5,25000
0102217406,1,01,1,4,01,140,1,1, ,1,2,2,2,2,2,2,2,1,10000,10000, ,45000,4.5,45000
0102217406,1,01,1,4,02,194,1,1, ,2,2,1,2,2,2,2,2,1,3000, , ,6000,2, 
0102217406,1,01,1,5,01,268,0,1, ,2,2,2,2,2,2,2,2, ,12, , ,264000,22000, 
0102217406,1,01,1,5,02,240,0,1, ,2,2,2,2,2,2,2,2, ,15, , ,375000,25000, 
0102217406,1,01,1,5,03,284,0,1, ,1,1,2,2,2,2,2,2, ,118260,116800, ,768690,6.5,759200
0102217406,1,01,1,5,04,243,0,1, ,2,2,2,2,2,2,2,2, ,2, , ,36000,18000, 
0102217406,1,01,1,5,05,246,0,1, ,2,2,2,2,2,2,2,2, ,2, , ,36000,12000, 
0102217406,1,01,1,5,06,250,0,1, ,2,2,2,2,2,2,2,2, ,21, , ,2100,100, 
0102217607,1,02,1,5,01,250,0,2, ,2,2,2,2,2,2,2,2, ,50, , ,3800,76, 
0102217607,1,02,1,5,02,240,0,2, ,2,2,2,2,2,2,2,2, ,5, , ,34000,6800, 
0102217607,1,02,1,5,03,241,0,2, ,2,2,2,2,2,2,2,2, ,100, , ,110000,1100, 
0102258714,1,01,1,4,01,140,1,2, ,2,2,1,2,2,2,2,2,3,2000, , ,10000,5, 
0102258714,1,01,1,4,02,194,1,2, ,2,2,1,2,2,2,2,2,3,1000, , ,5000,5, 
0102258714,1,01,1,4,03,010,1,2, ,2,2,1,2,2,2,2,2,3,15000, , ,37800,2.52, 
0102258714,1,01,1,5,01,268,0,2, ,2,2,2,2,2,2,2,2, ,12, , ,96000,8000, 
0102258714,1,01,1,5,02,267,0,2, ,2,2,2,2,2,2,2,2, ,2, , ,24000,12000, 
0102258714,1,01,1,5,03,284,0,2, ,1,1,2,2,2,2,2,2, ,21900,21180, ,153300,7,148260
0102258718,1,01,2,5,01,243,0,2, ,2,2,2,2,2,2,2,2, ,1, , ,15000,15000, 
0102258718,1,01,2,5,02,271,0,2, ,2,2,2,2,2,2,2,2, ,10, , ,105000,10500, 
0102258718,1,01,2,5,03,268,0,2, ,2,2,2,2,2,2,2,2, ,20, , ,300000,15000, 
0102258920,1,01,2,5,01,241,0,2, ,2,2,2,2,2,2,2,2, ,6, , ,35000,5833.33, 
0102282802,1,01,2,4,01,010,1,2, ,1,2,1,2,2,2,2,2,3,78400,38400, ,115200,120,57600
0102282802,1,01,2,5,01,267,0,2, ,1,2,2,2,2,2,2,2, ,5,5, ,125000,25000,125000
0102282802,1,01,2,5,02,241,0,2, ,2,2,2,2,2,2,2,2, ,15, , ,37500,2500, 
0102282802,1,01,2,5,03,243,0,2, ,2,2,2,2,2,2,2,2, ,1, , ,30000,30000, 
0102360014,1,01,2,5,01,250,0,2, ,2,2,2,2,2,2,2,2, ,7, , ,1750,250, 
0102360014,1,01,2,5,02,251,0,2, ,2,2,2,2,2,2,2,2, ,4, , ,2000,500, 
0102360017,1,01,1,4,01,140,2,2,6, , , , , , , , , , , , , , , 
0102360017,1,01,1,4,02,194,1,2, ,2,2,1,2,2,2,2,2,1,20000, , ,40000,2, 
0102360017,1,01,1,4,03,026,2,2,1, , , , , , , , , , , , , , , 
0102360017,1,01,1,5,01,268,0,2, ,1,2,2,2,2,2,2,2, ,38,8, ,456000,12000,96000
0102360017,1,01,1,5,02,240,0,2, ,1,1,2,2,2,2,2,2, ,22,12, ,264000,12000,144000
0102360017,1,01,1,5,03,269,0,2, ,2,2,2,2,2,2,2,2, ,15, , ,225000,15000, 
0102360605,1,01,1,4,01,140,1,2, ,2,2,2,2,2,2,1,2,1,1000, , ,15000,9, 
0102360605,1,01,1,4,02,098,1,2, ,2,2,1,2,2,2,1,2,1,200, , ,5000,20, 
0102360605,1,01,1,4,03,088,1,2, ,2,1,2,2,2,2,1,2,1,100, , ,1000,12, 
0102360605,1,01,1,4,04,087,1,2, ,2,1,2,2,2,2,1,2,1,9, , ,200,20, 
0102360605,1,01,1,4,05,194,1,2, ,2,2,2,2,2,2,1,2,1,1500, , ,2000,3.5, 
0102360606,1,01,2,4,01,140,1,2, ,1,2,1,2,1,2,2,2,1,2000,1000, ,8000,4,4000
0102360606,1,01,2,4,02,098,1,2, ,1,1,1,2,2,2,2,2,1,500,300, ,4000,8,2400
0102360606,1,01,2,4,03,194,1,2, ,1,2,2,2,2,2,2,2,1,10000,10000, ,30000,4,80000
0160004012,1,01,2,5,01,251,0,2, ,2,2,2,2,2,2,2,2, ,3, , ,2400,800, 
0160004012,1,01,2,5,02,250,0,2, ,2,2,2,2,2,2,2,2, ,3, , ,900,300, 
